"","GUAT","MEX","COL","HAW","AUS","AFRI","MED","SAME","CAME"
"GUAT",NA,NA,NA,NA,NA,NA,NA,NA,NA
"MEX",0.0166056266407083,NA,NA,NA,NA,NA,NA,NA,NA
"COL",1,1,NA,NA,NA,NA,NA,NA,NA
"HAW",0.607216066940927,0.589800237758425,0.946664689749437,NA,NA,NA,NA,NA,NA
"AUS",0.348130424451894,0.378933778741626,0.877017457885074,0.167601505201838,NA,NA,NA,NA,NA
"AFRI",0.212539790964505,0.173777588392867,0.925703536972894,0.350073817636946,0.214705350009191,NA,NA,NA,NA
"MED",0.416776410541465,0.423455543633473,0.991739760711747,0.0621216737689269,0.0593593842390431,0.20257306901972,NA,NA,NA
"SAME",0.33407577838244,0.336420805252102,0.834711671042229,0.192859781626926,0.0258169127662781,0.205315376388525,0.0903852385148695,NA,NA
"CAME",0.645770488913792,0.64586962231982,0.975605478250867,0.081487968886632,0.205425500938929,0.440859890653876,0.107815378763744,0.210282919370712,NA
