,GUAT,MEX,COL,HAW,AUS,AFRI,MED,SAME,CAME
GUAT,0,NA,NA,NA,NA,NA,NA,NA,NA
MEX,0.03007033750165,NA,NA,NA,NA,NA,NA,NA,NA
COL,0.834472935893805,0.711375216615836,NA,NA,NA,NA,NA,NA,NA
HAW,0.462414583982575,0.365017839995133,0.62827852644768,NA,NA,NA,NA,NA,NA
AUS,0.380274647329857,0.307495217482337,0.668660408643086,0.135497047557196,NA,NA,NA,NA,NA
AFRI,0.160579748700241,0.101222871517263,0.500951186303962,0.157083281610829,0.118276374652127,NA,NA,NA,NA
MED,0.365021835436772,0.287456823386868,0.632110398576815,0.045723905330417,0.051485266023707,0.095598784635922,NA,NA,NA
SAME,0.303733341998609,0.234066158416255,0.576175486766494,0.12450191849414,0.022028558538483,0.093069175273729,0.061266860052028,NA,NA
CAME,0.469650818259885,0.379714525388208,0.626597373227195,0.058866827365503,0.15747641719193,0.186302481321294,0.074951867326164,0.131275939793515,NA
