"","GUAT","MEX","COL","HAW","AUS","AFRI","MED","SAME","CAME"
"CCMIC6",1.41519142408359,2.36880724236735,1,2.41134889940378,2.31671817127312,4.12241761440007,3.53129007294779,3.57007818814756,1.98428332162418
"CCMIC14",1.88492107969206,1.99999941130475,1,1.99999999999228,2.11477214212124,2.90511283150261,2.16447770442918,3.77345202238127,3.93617850409609
"CCMIC15",1.99994283382971,1.99999972823732,1.99039530573089,1.99999999524962,1.9999991221452,3.29897390819666,2.47084320288814,2.14595466407883,2.11806650548025
