"","GUAT","MEX","COL","HAW","AUS","AFRI","MED","SAME","CAME"
"GUAT",NA,NA,NA,NA,NA,NA,NA,NA,NA
"MEX",0.0740211246461345,NA,NA,NA,NA,NA,NA,NA,NA
"COL",1,1,NA,NA,NA,NA,NA,NA,NA
"HAW",0.855612138738738,0.809182324633525,0.987824024086369,NA,NA,NA,NA,NA,NA
"AUS",0.707319044522779,0.671057054181992,0.975579821372085,0.36625906873993,NA,NA,NA,NA,NA
"AFRI",0.430448405378936,0.325668013442909,0.975297290095895,0.526539140665827,0.380821359146052,NA,NA,NA,NA
"MED",0.728697201209341,0.680911382086285,0.998138081748596,0.144138465355019,0.151475049384396,0.341735409297417,NA,NA,NA
"SAME",0.64435915126858,0.588143829759839,0.955554920025168,0.371588699787951,0.067811530206355,0.340641930636499,0.195409228975546,NA,NA
"CAME",0.872170090324441,0.840791754126095,0.994399979583196,0.18361580549705,0.421631625652504,0.616479838209612,0.23223193246057,0.393564200769702,NA
