3	1389	9	92	51	32	137	130	187	262	303	195
	GUAT	MEX	COL	HAW	AUS	AFRI	MED	SAME	CAME		
Sample	Pop	CCMIC6a		CCMIC14a		CCMIC15a					
1	GUAT	84	84	78	78	92	92				
2	GUAT	84	84	72	78	84	92				
3	GUAT	84	84	72	72	92	92				
4	GUAT	84	84	72	72	92	92				
5	GUAT	84	84	72	72	92	92				
6	GUAT	84	84	72	72	91	91				
7	GUAT	84	84	73	79	84	84				
8	GUAT	84	84	72	78	92	92				
9	GUAT	84	84	79	79	84	92				
10	GUAT	83	83	72	72	92	92				
11	GUAT	84	90	72	72	84	92				
12	GUAT	84	84	72	78	91	91				
13	GUAT	84	84	72	72	84	92				
14	GUAT	84	84	72	72	92	92				
15	GUAT	84	84	72	78	84	92				
16	GUAT	84	91	78	78	92	92				
17	GUAT	84	84	72	72	91	91				
18	GUAT	84	84	72	78	84	92				
19	GUAT	84	84	72	72	91	91				
20	GUAT	84	84	71	78	84	92				
21	GUAT	84	84	73	73	92	92				
22	GUAT	84	84	74	80	91	91				
23	GUAT	84	84	74	74	94	94				
24	GUAT	84	84	74	74	85	85				
25	GUAT	84	84	79	79	84	92				
26	GUAT	83	83	73	73	92	92				
27	GUAT	84	84	72	72	91	91				
28	GUAT	85	85	72	79	84	84				
29	GUAT	84	84	72	72	84	91				
30	GUAT	84	84	79	79	90	90				
31	GUAT	84	84	72	79	91	91				
32	GUAT	84	84	79	79	90	90				
33	GUAT	84	84	73	73	92	92				
34	GUAT	84	84	74	80	85	93				
35	GUAT	84	84	74	74	85	93				
36	GUAT	83	83	74	80	92	92				
37	GUAT	83	83	73	79	90	90				
38	GUAT	85	85	0	0	90	90				
39	GUAT	85	85	73	73	91	91				
40	GUAT	84	84	73	79	84	92				
41	GUAT	84	84	73	79	89	89				
42	GUAT	84	84	73	79	90	90				
43	GUAT	84	84	73	79	90	90				
44	GUAT	84	84	72	79	84	92				
45	GUAT	84	84	73	79	90	90				
46	GUAT	84	84	74	80	92	92				
47	GUAT	84	84	0	0	92	92				
48	GUAT	84	84	73	73	92	92				
49	GUAT	84	84	73	79	92	92				
50	GUAT	84	84	0	0	92	92				
51	GUAT	83	83	73	73	92	92				
52	GUAT	85	85	73	79	92	92				
53	GUAT	83	83	73	79	92	92				
54	GUAT	85	85	0	0	85	93				
55	GUAT	84	84	73	73	93	93				
56	GUAT	84	84	73	73	85	93				
57	GUAT	84	84	0	0	92	92				
58	GUAT	84	84	73	79	84	92				
59	GUAT	84	84	73	73	84	92				
60	GUAT	84	84	80	80	84	92				
61	GUAT	85	85	73	80	92	92				
62	GUAT	84	84	73	79	92	92				
63	GUAT	83	83	73	79	85	93				
